size,greedy_profit,greedy_time,milp_profit,milp_time,ga_profit,ga_time
10,12113.0,0.134627103805542,12113.0,0.3905777931213379,12113.0,0.2226111888885498
20,26288.0,0.13352704048156738,26288.0,4.282958030700684,26288.0,0.5372991561889648
30,33880.0,0.18905925750732422,29010.0,60.25397300720215,33168.0,1.340519905090332
40,34773.0,0.14715814590454102,13439.0,60.38005328178406,36337.0,2.1767098903656006
50,34853.0,0.14866089820861816,12052.0,60.58459496498108,38124.0,3.1864922046661377
100,35625.0,0.1513972282409668,5799.0,61.84735989570618,32111.0,7.507225036621094
